Index Arrival time  CPU Burst Length   Priority
2490       37422                  12     8
2491       37423                  15     2
2492       37438                   0     3
2493       37450                   7     9
2494       37454                  16     6
2495       37456                   6     8
2496       37475                   3     2
2497       37503                  18     7
2498       37506                  14     2
2499       37514                   8     1
2500       37519                   0     4
2501       37546                  11     9
2502       37550                  13     3
2503       37606                   2     8
2504       37617                  20     4
2505       37618                   8     1
2506       37622                   0     4
2507       37634                  11     1
2508       37637                  15     6
2509       37651                   6     5
2510       37668                  17     7
2511       37680                   7     5
2512       37687                  21     9
2513       37690                  18     8
2514       37698                  22     5
2515       37701                  13     3
2516       37704                   4     9
2517       37713                   7     5
2518       37756                  12     8
2519       37757                  22     1
2520       37761                  12     1
2521       37768                  24     1
2522       37802                   4     5
2523       37813                   9     9
2524       37850                   8     3
2525       37912                   3     4
2526       37930                  14     3
2527       37938                   2     2
2528       37940                  23     5
2529       37948                  18     6
2530       37959                   5     9
2531       38014                  11     3
2532       38049                  11     3
2533       38056                   7     9
2534       38060                  20     7
2535       38122                  18     7
2536       38136                  13     7
2537       38168                  24     3
2538       38176                   1     5
2539       38235                   4     2
2540       38237                   0     1
2541       38261                   0     1
2542       38265                   4     7
2543       38311                   4     2
2544       38322                  22     2
2545       38330                   2     2
2546       38332                   6     5
2547       38336                  15     6
2548       38364                  23     3
2549       38377                  21     6
2550       38392                  13     9
2551       38396                  11     7
2552       38418                   4     7
2553       38441                  12     5
2554       38447                  17     3
2555       38490                  10     1
2556       38494                  24     8
2557       38498                  11     8
2558       38502                   7     3
2559       38523                  23     8
2560       38536                  21     7
2561       38560                   9     5
2562       38571                  11     9
2563       38591                   5     1
2564       38620                  11     1
2565       38627                   2     1
2566       38643                  16     3
2567       38672                   0     4
2568       38678                   2     7
2569       38691                  15     3
2570       38691                  21     6
2571       38719                  20     8
2572       38723                   1     3
2573       38734                  21     8
2574       38747                   7     7
2575       38788                  14     4
2576       38799                   2     4
2577       38810                   5     7
2578       38814                   7     7
2579       38827                   5     5
2580       38864                   3     1
2581       38870                   6     8
2582       38903                   0     2
2583       38937                  22     3
2584       38949                  22     2
2585       38962                  21     3
2586       38978                   0     5
2587       38991                  16     1
2588       38994                  22     8
2589       38997                  21     3
2590       39031                  11     9
2591       39059                   5     1
2592       39065                  23     4
2593       39070                   8     3
2594       39074                  20     8
2595       39093                   8     1
2596       39099                   3     5
2597       39099                   3     2
2598       39099                  22     2
2599       39107                  15     1
2600       39164                  19     4
2601       39179                   7     3
2602       39198                  24     9
2603       39200                   0     5
2604       39205                  13     8
2605       39223                  13     3
2606       39231                  14     2
2607       39233                   1     1
2608       39236                  11     7
2609       39267                  16     6
2610       39287                  24     8
2611       39302                  15     3
2612       39313                  15     9
2613       39315                  23     8
2614       39321                  16     7
2615       39351                   0     5
2616       39380                   0     3
2617       39394                  14     2
2618       39406                   3     4
2619       39413                  11     1
2620       39419                  19     2
2621       39428                  17     6
2622       39456                   7     3
2623       39501                  22     8
2624       39517                   2     7
2625       39545                  22     1
2626       39550                  24     8
2627       39574                  22     2
2628       39591                  23     4
2629       39623                   7     5
2630       39630                   8     3
2631       39632                   2     6
2632       39636                  13     7
2633       39643                   6     2
2634       39646                   6     7
2635       39681                   4     6
2636       39684                  23     7
2637       39693                  17     9
2638       39716                  16     9
2639       39754                   9     8
2640       39775                  15     4
2641       39780                  23     8
2642       39782                  21     4
2643       39802                  16     6
2644       39811                   3     3
2645       39814                  24     2
2646       39824                  22     6
2647       39837                  13     7
2648       39838                   6     3
2649       39863                  14     5
2650       39887                   7     8
2651       39890                   8     3
2652       39934                  13     4
2653       39942                  13     8
2654       39993                  12     1
2655       39997                  16     4
2656       40038                  17     1
2657       40042                   8     7
2658       40058                  17     8
2659       40059                   3     5
2660       40059                  10     3
2661       40072                   3     7
2662       40073                  16     4
2663       40074                   7     1
2664       40093                   4     5
2665       40104                   4     1
2666       40130                  11     5
2667       40139                  14     8
2668       40145                  21     5
2669       40158                   2     9
2670       40178                  17     2
2671       40218                   4     1
2672       40229                  24     3
2673       40236                   2     1
2674       40236                   7     8
2675       40260                  24     7
2676       40303                   4     2
2677       40314                  21     8
2678       40319                  12     2
2679       40378                  12     4
2680       40380                  11     3
2681       40395                  15     2
2682       40402                  14     1
2683       40426                   1     9
2684       40429                   8     2
2685       40438                   2     8
2686       40445                   6     9
2687       40450                  23     6
2688       40454                  12     1
2689       40455                  14     5
2690       40466                  17     2
2691       40467                  19     3
2692       40480                   8     3
2693       40481                   2     6
2694       40483                   1     6
2695       40487                  13     7
2696       40488                  11     4
2697       40491                   8     8
2698       40496                  20     7
2699       40503                  11     9
2700       40505                  21     9
2701       40511                  20     7
2702       40515                  20     7
2703       40533                   8     4
2704       40539                   3     6
2705       40574                   9     8
2706       40585                  12     2
2707       40601                  12     8
2708       40625                  20     3
2709       40635                  10     6
2710       40638                  20     7
2711       40650                  21     9
2712       40654                  15     3
2713       40655                   0     1
2714       40683                   0     4
2715       40693                  22     9
2716       40701                   7     4
2717       40773                  15     7
2718       40849                   1     4
2719       40860                   3     5
2720       40862                  18     4
2721       40888                  18     5
2722       40911                  11     9
2723       40918                  19     9
2724       40920                  15     1
2725       40922                  15     6
2726       40952                  20     8
2727       40963                  16     5
2728       40998                   6     2
2729       41000                   3     9
2730       41012                  18     6
2731       41039                  22     5
2732       41046                   6     5
2733       41068                  11     4
2734       41075                   3     6
2735       41088                  23     7
2736       41101                  23     4
2737       41115                   7     7
2738       41118                  22     6
2739       41121                  12     4
2740       41146                  13     7
2741       41185                  11     2
2742       41197                  22     4
2743       41207                  24     6
2744       41212                  14     7
2745       41217                   0     8
2746       41239                   1     7
2747       41242                  10     6
2748       41245                  23     5
2749       41251                  14     5
2750       41264                   2     2
2751       41275                   1     1
2752       41292                  23     2
2753       41304                  22     8
2754       41340                   5     3
2755       41341                  16     3
2756       41346                  18     1
2757       41350                  24     7
2758       41405                   2     6
2759       41405                   1     6
2760       41407                  12     5
2761       41437                   0     1
2762       41461                   4     5
2763       41464                   4     5
2764       41469                  12     2
2765       41475                  13     5
2766       41477                  19     9
2767       41477                  21     9
2768       41485                  12     3
2769       41498                  14     1
2770       41506                  16     5
2771       41521                  21     2
2772       41523                   3     3
2773       41523                  16     3
2774       41540                   3     6
2775       41549                   7     6
2776       41563                   9     2
2777       41588                  11     8
2778       41603                  16     2
2779       41675                   6     6
2780       41691                   1     2
2781       41716                   8     1
2782       41740                   3     9
2783       41758                   8     3
2784       41766                  22     6
2785       41769                   5     8
2786       41796                   6     3
2787       41797                   2     4
2788       41802                   3     4
2789       41819                  15     3
2790       41823                   5     7
2791       41832                   4     6
2792       41840                  13     4
2793       41841                   3     2
2794       41848                  23     4
2795       41887                   4     1
2796       41890                   7     7
2797       41923                  19     9
2798       41938                  23     7
2799       41955                  20     1
2800       42014                  10     1
2801       42021                   9     4
2802       42051                  17     5
2803       42067                   6     8
2804       42069                   5     9
2805       42083                   6     1
2806       42096                   1     6
2807       42104                  21     4
2808       42104                  12     3
2809       42111                  20     5
2810       42121                   5     1
2811       42135                  20     1
2812       42150                  10     4
2813       42170                   3     7
2814       42194                   8     5
2815       42197                  15     6
2816       42204                   3     4
2817       42244                  17     7
2818       42260                   1     3
2819       42299                  15     3
2820       42315                  17     2
2821       42335                   4     2
2822       42337                  21     5
2823       42370                  19     2
2824       42373                  10     3
2825       42414                  13     9
2826       42417                   3     4
2827       42425                  13     9
2828       42427                   3     1
2829       42429                  20     7
2830       42435                  21     8
2831       42441                  16     9
2832       42441                   5     9
2833       42443                   8     3
2834       42546                   2     8
2835       42579                  24     6
2836       42592                   2     4
2837       42629                  21     9
2838       42644                   5     9
2839       42650                   5     9
2840       42656                   3     6
2841       42658                  19     5
2842       42661                   3     1
2843       42668                  20     5
2844       42671                   2     7
2845       42673                  23     8
2846       42696                   5     7
2847       42698                   0     7
2848       42725                   9     5
2849       42725                   8     2
2850       42732                  15     3
2851       42755                  23     6
2852       42756                   6     5
2853       42759                  22     2
2854       42768                  23     4
2855       42777                   6     7
2856       42800                  21     7
2857       42806                  12     2
2858       42808                  14     4
2859       42824                   0     5
2860       42841                  23     9
2861       42845                  16     4
2862       42898                   1     2
2863       42910                   6     1
2864       42911                   6     6
2865       42926                   3     4
2866       42932                  17     8
2867       42942                  13     6
2868       42954                   2     6
2869       42974                  23     8
2870       42989                  17     6
2871       43009                  18     4
2872       43035                  23     8
2873       43043                  22     6
2874       43089                   9     5
2875       43109                   3     1
2876       43116                  16     7
2877       43121                  10     9
2878       43125                   3     3
2879       43127                  10     4
2880       43135                  11     7
2881       43154                   9     2
2882       43158                   8     9
2883       43179                   8     4
2884       43192                  20     2
2885       43219                   5     5
2886       43220                  12     4
2887       43272                   9     7
2888       43288                  22     7
2889       43312                  23     6
2890       43320                   3     8
2891       43348                  20     6
2892       43368                  10     3
2893       43377                   9     8
2894       43408                  21     5
2895       43410                  22     5
2896       43413                   9     7
2897       43443                   4     6
2898       43445                   3     2
2899       43447                  12     6
2900       43452                   9     5
2901       43471                   0     3
2902       43485                   2     6
2903       43511                   8     3
2904       43512                   5     7
2905       43546                  15     2
2906       43573                  21     5
2907       43575                  21     5
2908       43576                   8     7
2909       43592                   9     4
2910       43601                   3     1
2911       43620                   6     3
2912       43627                  16     7
2913       43637                   6     4
2914       43673                   1     3
2915       43674                  10     2
2916       43702                  16     4
2917       43710                  21     3
2918       43728                  14     7
2919       43734                  13     3
2920       43760                   9     6
2921       43793                  24     5
2922       43803                   8     8
2923       43808                  16     7
2924       43811                   3     7
2925       43856                  11     8
2926       43858                  18     3
2927       43863                   4     7
2928       43866                  19     1
2929       43869                   9     1
2930       43887                   5     4
2931       43905                  10     6
2932       43935                   1     6
2933       43957                  17     1
2934       43959                   6     7
2935       43961                  21     7
2936       43970                   3     4
2937       43987                  14     5
2938       44014                  23     5
2939       44026                  20     4
2940       44053                   9     6
2941       44062                  10     1
2942       44064                  15     7
2943       44067                  11     9
2944       44088                  19     9
2945       44100                   5     5
2946       44123                   3     1
2947       44126                   7     5
2948       44141                   6     3
2949       44148                   1     4
2950       44163                   4     3
2951       44172                  14     8
2952       44200                   8     9
2953       44205                  21     2
2954       44220                   3     1
2955       44246                  17     6
2956       44250                  19     3
2957       44258                   5     5
2958       44272                  18     4
2959       44279                  20     9
2960       44287                   7     1
2961       44290                   0     1
2962       44317                  11     7
2963       44317                  21     4
2964       44338                  21     7
2965       44344                   9     3
2966       44348                  21     8
2967       44356                   1     8
2968       44356                  20     3
2969       44359                  16     2
2970       44366                   5     6
2971       44408                  21     2
2972       44432                  24     5
2973       44452                   9     1
2974       44455                   9     4
2975       44489                   3     7
2976       44494                  20     1
2977       44505                  12     6
2978       44520                  11     2
2979       44550                   1     6
2980       44555                   8     3
2981       44580                   3     6
2982       44589                   0     8
2983       44598                  12     6
2984       44600                  24     1
2985       44634                  24     6
2986       44638                  19     1
2987       44644                   6     2
2988       44663                  18     3
2989       44666                  12     1
2990       44667                  15     6
2991       44685                   7     3
2992       44693                  12     8
2993       44710                  15     2
2994       44731                   9     5
2995       44737                   9     7
2996       44742                   7     7
2997       44751                   3     7
2998       44752                   3     3
2999       44769                   5     3
3000       44772                   9     7
3001       44800                   5     9
3002       44811                  23     5
3003       44813                  21     9
3004       44818                  12     5
3005       44823                  15     2
3006       44825                  23     4
3007       44827                  20     7
3008       44827                  12     4
3009       44855                   5     8
3010       44867                  23     5
3011       44914                  20     2
3012       44930                  21     2
3013       44943                   4     7
3014       44958                  17     3
3015       44961                  22     9
3016       44966                  14     5
3017       44986                  24     2
3018       45018                  18     9
3019       45039                   3     5
3020       45087                  15     8
3021       45101                   9     5
3022       45118                   6     2
3023       45125                  10     4
3024       45137                   2     8
3025       45155                  10     8
3026       45166                   3     8
3027       45193                   3     4
3028       45205                  15     3
3029       45227                  23     6
3030       45233                  17     4
3031       45233                  15     2
3032       45234                   1     4
3033       45255                  20     1
3034       45266                  14     6
3035       45291                  16     6
3036       45295                  21     8
3037       45310                  16     8
3038       45310                  20     6
3039       45317                  12     4
3040       45329                  24     8
3041       45336                  14     1
3042       45360                   6     4
3043       45383                   4     8
3044       45416                   4     9
3045       45418                  22     2
3046       45470                   7     1
3047       45473                  24     5
3048       45501                   6     8
3049       45504                  20     5
3050       45508                  17     2
3051       45529                  17     2
3052       45533                  21     5
3053       45544                  21     6
3054       45553                   2     7
3055       45556                   7     7
3056       45565                  12     9
3057       45583                  12     3
3058       45588                  22     7
3059       45592                   0     4
3060       45628                  13     9
3061       45644                   8     7
3062       45663                  15     8
3063       45666                   3     2
3064       45727                  20     5
3065       45733                   3     8
3066       45747                  12     8
3067       45773                  21     9
3068       45799                  24     9
3069       45820                  23     9
3070       45823                   5     9
3071       45859                  15     9
3072       45863                  12     2
3073       45879                   9     1
3074       45910                   9     2
3075       45917                  12     7
3076       45955                  23     3
3077       45980                   7     7
3078       46003                  10     9
3079       46013                   7     5
3080       46014                  17     4
3081       46019                  11     7
3082       46024                   2     4
3083       46027                  12     2
3084       46033                  24     7
3085       46041                  23     8
3086       46057                  16     4
3087       46070                   2     6
3088       46071                  10     2
3089       46071                  13     6
3090       46074                  12     1
3091       46148                   0     2
3092       46188                  11     9
3093       46195                  19     6
3094       46228                  11     9
3095       46274                  15     5
3096       46289                  20     9
3097       46311                   3     4
3098       46338                   4     6
3099       46355                  16     3
3100       46361                  19     9
3101       46364                   4     5
3102       46371                   1     8
3103       46372                   6     8
3104       46409                  12     7
3105       46418                   7     6
3106       46437                   4     2
3107       46446                  20     1
3108       46449                  21     4
3109       46459                  11     1
3110       46474                  11     9
3111       46479                   0     5
3112       46480                   2     8
3113       46496                   0     9
3114       46509                  13     6
3115       46524                  14     7
3116       46529                  11     1
3117       46560                  15     9
3118       46561                  19     8
3119       46598                  24     6
3120       46609                   5     3
3121       46609                  21     3
3122       46619                  15     4
3123       46635                  24     6
3124       46677                  11     8
3125       46688                   4     3
3126       46696                  13     8
3127       46706                  19     5
3128       46716                   2     7
3129       46717                  23     9
3130       46717                  20     6
3131       46725                   4     5
3132       46740                   4     1
3133       46748                  18     6
3134       46754                  15     5
3135       46759                   1     3
3136       46761                  24     1
3137       46773                  13     6
3138       46775                  21     3
3139       46777                   4     3
3140       46828                   3     8
3141       46836                  22     1
3142       46836                  22     6
3143       46847                   9     9
3144       46865                  10     5
3145       46890                   5     6
3146       46897                  14     5
3147       46902                  15     3
3148       46903                  17     6
3149       46926                  22     9
3150       46928                  13     1
3151       46931                  23     4
3152       46937                  12     3
3153       46947                   5     7
3154       46997                  14     4
3155       47017                   1     1
3156       47020                  20     7
3157       47036                  20     1
3158       47047                   7     9
3159       47061                  24     8
3160       47068                   6     3
3161       47092                  11     2
3162       47093                   9     4
3163       47113                  20     1
3164       47136                   7     5
3165       47145                   5     8
3166       47148                  17     3
3167       47160                  15     5
3168       47170                  16     1
3169       47187                  20     7
3170       47190                  16     3
3171       47193                  24     2
3172       47226                   7     7
3173       47312                  11     7
3174       47317                   0     9
3175       47321                  12     8
3176       47349                  15     1
3177       47354                  23     8
3178       47373                   9     8
3179       47389                  10     4
3180       47404                  11     3
3181       47415                  21     7
3182       47418                  14     3
3183       47420                  10     1
3184       47435                  13     2
3185       47460                   5     9
3186       47469                  11     8
3187       47495                   9     3
3188       47509                   0     6
3189       47513                   5     5
3190       47514                   7     6
3191       47542                  22     3
3192       47592                   9     6
3193       47599                  21     9
3194       47635                  20     6
3195       47719                  11     1
3196       47726                  17     4
3197       47765                  15     6
3198       47767                  24     2
3199       47783                  19     9
3200       47786                   9     1
3201       47796                   8     7
3202       47807                  15     2
3203       47812                   9     4
3204       47827                   3     7
3205       47856                  19     6
3206       47864                  17     2
3207       47881                  20     8
3208       47883                  20     1
3209       47889                  24     7
3210       47903                   3     2
3211       47908                  24     7
3212       47919                  21     3
3213       47922                  23     6
3214       47957                  10     4
3215       47962                  22     9
3216       48014                   7     2
3217       48084                   9     7
3218       48101                   8     7
3219       48101                   1     8
3220       48152                  22     5
3221       48162                  21     6
3222       48165                   4     3
3223       48187                  23     1
3224       48224                  24     7
3225       48231                  14     1
3226       48269                   6     4
3227       48270                  23     4
3228       48275                   0     5
3229       48289                  17     6
3230       48300                  20     2
3231       48301                   9     4
3232       48310                  10     9
3233       48330                  21     1
3234       48344                   0     8
3235       48355                  18     5
3236       48365                  11     3
3237       48371                  20     7
3238       48385                   9     1
3239       48434                   6     2
3240       48456                  14     5
3241       48479                  21     1
3242       48506                   5     3
3243       48509                  21     4
3244       48518                  11     1
3245       48519                   3     8
3246       48523                   5     7
3247       48541                  11     3
3248       48542                  22     4
3249       48568                   2     6
3250       48599                  15     8
3251       48627                  22     4
3252       48694                   7     1
3253       48703                   3     6
3254       48755                  22     7
3255       48764                  20     6
3256       48778                   7     2
3257       48779                   4     8
3258       48792                  19     6
3259       48812                  20     7
3260       48816                  20     8
3261       48824                  17     2
3262       48841                   5     9
3263       48849                   3     7
3264       48854                   2     3
3265       48856                  15     8
3266       48887                  23     1
3267       48916                   0     5
3268       48937                  11     6
3269       48960                   2     2
3270       48966                  16     1
3271       48968                  24     1
3272       48979                   0     3
3273       48983                  12     6
3274       49037                   2     7
3275       49049                   5     2
3276       49060                  17     8
3277       49064                  19     6
3278       49073                  19     2
3279       49073                  12     9
3280       49074                  20     5
3281       49077                   5     4
3282       49082                   6     2
3283       49088                  21     9
3284       49088                   8     1
3285       49115                  14     8
3286       49149                  12     4
3287       49165                  15     7
3288       49165                   5     1
3289       49171                   4     4
3290       49180                   3     1
3291       49200                  16     3
3292       49207                  23     7
3293       49208                   8     3
3294       49272                   1     4
3295       49277                  22     6
3296       49285                   3     4
3297       49307                  21     5
3298       49308                   0     5
3299       49315                   2     5
3300       49320                   0     9
3301       49345                  24     5
3302       49360                   6     8
3303       49360                  12     2
3304       49361                  13     8
3305       49370                  17     6
3306       49380                   7     2
3307       49381                  11     3
3308       49400                  21     1
3309       49402                  11     7
3310       49470                  23     6
3311       49477                  16     3
3312       49512                  11     8
3313       49526                   8     4
3314       49539                   0     2
3315       49546                   1     2
3316       49558                  22     9
3317       49566                  24     9
3318       49595                  22     3
3319       49604                  10     5
3320       49616                  18     6
3321       49617                   8     3
3322       49669                   9     3
3323       49674                  17     4
3324       49687                   5     2
3325       49720                   2     9
3326       49720                  13     8
3327       49731                   5     9
3328       49738                  18     8
3329       49746                   0     3
3330       49770                  22     3
3331       49781                   6     1
3332       49790                  13     6
3333       49807                   7     9
3334       49811                  18     4
3335       49825                  20     6
3336       49830                  10     1
3337       49840                   1     2
3338       49842                  18     5
3339       49851                   0     1
3340       49891                  13     5
3341       49908                   7     1
3342       49948                   2     7
3343       49996                  10     1
3344       50006                  12     7
3345       50033                   7     5
3346       50052                   0     4
3347       50091                  23     7
3348       50107                   0     5
3349       50115                   5     5
3350       50124                  15     3
3351       50131                   8     4
3352       50135                  10     4
3353       50226                  19     9
3354       50242                  11     8
3355       50245                  10     1
3356       50250                  11     9
3357       50252                  19     2
3358       50257                  18     1
3359       50263                  24     4
3360       50263                   3     2
3361       50269                  21     2
3362       50304                  12     2
3363       50311                   5     7
3364       50333                  19     1
3365       50336                  13     1
3366       50338                  23     4
3367       50344                   0     1
3368       50382                  18     5
3369       50394                   1     1
3370       50399                  23     6
3371       50423                  15     5
3372       50454                   9     3
3373       50491                   3     4
3374       50504                   5     1
3375       50524                   9     1
3376       50528                   5     3
3377       50544                  18     2
3378       50552                  11     7
3379       50560                  10     8
3380       50584                  11     3
3381       50603                  13     5
3382       50610                  11     1
3383       50620                  17     2
3384       50633                  20     7
3385       50639                  15     4
3386       50652                  15     1
3387       50656                   8     7
3388       50663                  11     4
3389       50673                   6     8
3390       50679                  16     9
3391       50722                  14     6
3392       50735                  18     8
3393       50736                  19     6
3394       50766                   2     3
3395       50768                   6     1
3396       50788                   8     9
3397       50788                  12     9
3398       50791                  19     3
3399       50828                  19     9
3400       50842                  20     7
3401       50848                   6     7
3402       50855                   1     4
3403       50858                  23     5
3404       50879                   1     9
3405       50901                  22     1
3406       50901                  18     9
3407       50914                  11     7
3408       50943                   3     4
3409       50947                   1     9
3410       50957                  18     6
3411       50964                   4     3
3412       50967                  20     7
3413       50971                  23     6
3414       50974                  17     4
3415       51004                   0     6
3416       51009                   3     3
3417       51016                  18     9
3418       51026                  16     1
3419       51033                  24     4
3420       51048                  13     9
3421       51057                  22     1
3422       51057                  16     5
3423       51075                  15     9
3424       51092                   0     9
3425       51093                  19     2
3426       51093                  20     2
3427       51095                   6     9
3428       51124                   8     6
3429       51129                   1     2
3430       51161                  21     5
3431       51171                  20     2
3432       51196                   2     8
3433       51211                  14     2
3434       51224                   3     2
3435       51250                  14     2
3436       51277                  19     4
3437       51279                   0     1
3438       51281                  21     6
3439       51283                   7     9
3440       51357                  20     6
3441       51372                  18     7
3442       51375                  21     8
3443       51400                   7     2
3444       51401                  11     8
3445       51407                  18     3
3446       51428                  16     3
3447       51432                   6     6
3448       51481                   9     9
3449       51509                  11     3
3450       51513                  15     8
3451       51519                  20     4
3452       51529                   1     2
3453       51534                  12     7
3454       51534                   3     4
3455       51543                   6     9
3456       51547                   0     6
3457       51562                  18     5
3458       51582                  16     6
3459       51587                  12     2
3460       51608                  12     4
3461       51627                  21     6
3462       51644                  18     7
3463       51659                  19     8
3464       51666                   5     9
3465       51682                   2     9
3466       51687                  23     9
3467       51688                  23     3
3468       51699                   1     4
3469       51700                  16     1
3470       51721                  20     3
3471       51747                   5     9
3472       51760                   9     9
3473       51762                   9     6
3474       51773                   7     6
3475       51797                   0     8
3476       51815                   6     3
3477       51862                   8     1
3478       51870                  15     8
3479       51882                  17     4
3480       51892                  23     9
3481       51892                  18     6
3482       51892                  20     5
3483       51911                   2     9
3484       51930                   1     7
3485       51931                  11     2
3486       51938                   8     8
3487       51965                   1     5
3488       51982                   0     9
3489       52007                   8     8
3490       52045                   3     7
3491       52067                  21     9
3492       52086                   7     6
3493       52099                  24     3
3494       52124                   8     4
3495       52125                   9     6
3496       52166                   1     7
3497       52186                  18     8
3498       52202                  11     5
3499       52203                   9     1
3500       52254                  23     7
3501       52254                  16     1
3502       52254                  23     5
3503       52298                   0     1
3504       52305                   3     7
3505       52312                  13     4
3506       52316                  23     2
3507       52331                  15     7
3508       52334                   4     5
3509       52350                   2     3
3510       52367                  18     2
3511       52375                  19     5
3512       52376                  17     4
3513       52382                   7     9
3514       52406                  22     3
3515       52417                  13     7
3516       52418                  15     7
3517       52423                  10     7
3518       52435                  16     5
3519       52436                  17     4
3520       52460                  18     5
3521       52489                   1     3
3522       52495                  18     4
3523       52498                   8     3
3524       52525                  21     7
3525       52529                  20     9
3526       52529                  22     2
3527       52544                  23     3
3528       52572                   7     2
3529       52578                  13     7
3530       52581                  16     2
3531       52597                   2     7
3532       52604                  16     7
3533       52627                   2     4
3534       52661                   5     6
3535       52675                  14     3
3536       52715                   1     1
